case,nit_noP,nit_P,adj_nit_noP,adj_nit_P,res,Pres,adj_res,adj_Pres,n
bfwa398,1731,10,2000,10,1.344471877699941e-9,3.9940630895229144e-12,2.07867714811499e-6,5.418038847901753e-12,398
bfwa62,147,6,116,6,3.994029456833656e-10,4.694946638205096e-11,4.697092672735566e-10,1.1033940026685163e-11,62
bfwa782,1765,11,2000,11,1.720990254911092e-9,1.3149063214577433e-11,1.3405693685333332e-6,9.255042121467204e-12,782
bwm200,653,9,726,9,1.689954939661438e-10,5.7751677386213064e-11,1.6690962053136974e-10,5.966037325523477e-13,200
bwm2000,2000,24,2000,23,0.1950868261673732,1.0548306003658543e-9,0.03492219382845412,7.967171005163042e-13,2000
cdde1,1028,13,1028,13,1.6209582552548293e-9,6.791947502958611e-12,1.6251804310717755e-9,3.889340070788941e-12,961
cdde2,306,5,306,5,1.6468082821958498e-9,5.192867191802107e-12,1.6468083459366743e-9,2.029531863627951e-12,961
cdde3,2000,12,2000,12,0.05210138294998544,7.810693802034667e-11,0.06458493219031879,5.3039567551620365e-11,961
cdde4,401,5,401,5,1.6383512755310208e-9,8.320444381510657e-12,1.6383504151355692e-9,3.0314520898782634e-12,961
cdde5,2000,10,2000,10,4.396695793391609,2.2930359562106904e-11,4.39669564910225,5.2985810135708687e-11,961
cdde6,2000,5,2000,5,15.165598178322705,3.525522218889846e-11,15.165598178322707,1.231099184080648e-11,961
ck104,211,8,192,8,1.4005943162644038e-9,2.000204643349986e-11,1.4086828294478724e-9,9.050091679587827e-12,104
ck400,2000,12,1645,11,1.9257201427439856,1.2867186164107571e-11,2.5808088906344088e-9,1.0451156270283823e-11,400
ck656,2000,13,2000,12,1.9309463337031951,6.065916239678009e-11,0.3155555961421565,1.3916146934585413e-11,656
dw1024,2000,7,2000,7,0.006759613553390698,4.5739730210964655e-12,0.04452357899083712,3.8916156166343624e-12,2048
dw256A,2000,8,2000,8,0.16332891082671086,2.8351540434895977e-10,0.8867473782831655,1.1318660428562537e-9,512
dw256B,11,4,11,4,1.6183597349797504e-9,2.714469455723063e-12,1.2404992465032734e-9,3.5088802136973912e-12,512
dw4096,2000,2000,2000,2000,12.226703128722146,5.361347026149079e9,8.90321706075769,5.9044023594888725e29,8192
lop163,2000,6,2000,6,0.9604464567555796,2.7731856114547927e-10,0.8362461203171996,5.472220786486168e-10,163
mhda416,2000,2000,2000,2000,2619.0716481733543,NaN,2152.4570519566087,NaN,416
odepa400,2000,1,2000,1,13.548860660911483,1.3423408847222122e-10,13.57840059509531,1.1018932904853181e-10,400
olm100,1228,1,1316,1,1.0574051062433718e-9,9.0221452849805e-14,1.0036312832734822e-9,1.6098999300555292e-13,100
olm1000,2000,23,2000,23,0.7133568421470861,1.352451435877648e-10,29.70701274886426,2.374645524761109e-10,1000
olm2000,2000,25,2000,25,0.5445119577015396,1.1064785801609656e-9,42.104271165957144,1.805768487225911e-9,2000
olm500,2000,2,2000,2,0.5525119516013876,6.54315488017101e-12,20.67612988267535,8.334316070093106e-12,500
olm5000,2000,25,2000,25,0.3917213666777039,8.307544782164262e-9,66.70146792737906,1.1939039100775162e-8,5000
pde225,135,5,113,5,7.451732300500919e-10,2.9714307409266793e-12,7.184706949008049e-10,3.0030902280795603e-13,225
pde2961,359,10,394,10,2.5616882850562567e-9,1.503627306547532e-11,2.9785553530929237e-9,1.7602127159017257e-12,2961
pde900,214,7,271,7,1.541038367624341e-9,9.080884485410755e-12,1.398981976192782e-9,7.709348052788332e-13,900
qh882,2000,2000,2000,2000,0.732091242483905,NaN,0.6532750649053783,NaN,882
rbsa480,2000,2000,2000,2000,2.0159312445867497,10198.985023809153,2.207380786714405,96.86878315685297,480
rbsb480,2000,1204,2000,728,1.7663288498044516,2.4510368678513654e-9,1.743937789150588,4.301448119718231e-10,480
rdb2048,2000,9,2000,8,8.587120264505597,7.985107131263339e-12,1.8535946233622247,2.7370798253089534e-12,2048
rdb5000,2000,14,2000,13,8.939940527250556,9.16309292234352e-12,1.8932493964801906,4.948626135408781e-13,5000
rdb968,2000,8,2000,7,9.431393370465427,4.771803382681086e-12,1.3051707052337174,4.2506473581819984e-12,968
rw136,2000,2000,2000,2000,0.6398691337581768,NaN,3.082317272905326,NaN,136
rw496,2000,2000,2000,2000,0.7661828864894882,2.996549516513905e20,4.331350559502615,7.299964159392984e147,496
rw5151,2000,2000,2000,2000,0.9202360255714083,NaN,7.750891897886862,NaN,5151
tub100,2000,7,2000,7,0.2093343603530099,2.6343015217147023e-11,0.11219045657911468,8.686876130417054e-13,100
tub1000,2000,14,2000,14,0.08311423734279413,3.783255246591535e-9,0.06232049889190597,1.2893176915819098e-11,1000
cryg10000,2000,2000,2000,2000,1816.8671145946366,1645.0569147480905,262.35315893543515,2.7481393907133036,10000
cryg2500,2000,2000,2000,2000,735.3800602018368,0.0005654792588092201,102.71477484154602,0.09858318957275149,2500
dw2048,2000,7,2000,7,0.006759613553390698,4.5739730210964655e-12,0.04452357899083712,3.8916156166343624e-12,2048
dw8192,2000,2000,2000,2000,12.226703128722146,5.361347026149079e9,8.90321706075769,5.9044023594888725e29,8192
dwa512,2000,8,2000,8,0.16332891082671086,2.8351540434895977e-10,0.8867473782831655,1.1318660428562537e-9,512
dwb512,11,4,11,4,1.6183597349797504e-9,2.714469455723063e-12,1.2404992465032734e-9,3.5088802136973912e-12,512
mhd3200a,2000,2000,2000,2000,10392.692600838649,NaN,10298.391387809124,NaN,3200
mhd4800a,2000,2000,2000,2000,13219.554329292609,NaN,13139.540447545623,NaN,4800
qh1484,2000,2000,2000,2000,0.6312090219720077,NaN,0.5970697938830206,NaN,1484
qh768,2000,2000,2000,2000,0.7129174814245187,NaN,0.5979612343295527,NaN,768
rdb1250,2000,9,2000,9,0.08076286024899894,5.406647397000792e-11,1.9676285117085858e-5,1.2526528292716745e-12,1250
rdb1250l,2000,8,2000,7,9.478506253192128,2.3359883701346128e-11,1.1443242821740875,4.6755923689470296e-12,1250
rdb200,32,5,32,5,4.679540806138323e-10,3.72194041882213e-11,1.7205432661930593e-10,2.436951238726338e-12,200
rdb200l,39,7,34,7,2.99355564256232e-10,6.774196986019203e-12,7.121568613518797e-10,5.213974794274253e-13,200
rdb2048_noL,2000,11,2000,10,2.334671437683748,1.5701317053234248e-11,0.5145775563104481,5.883903627353818e-12,2048
rdb3200l,2000,11,2000,10,8.974561298089814,4.423473988537931e-12,1.36486798904079,1.3444169098989292e-12,3200
rdb450,2000,7,2000,6,7.381521262264297e-6,1.8776514718860938e-12,5.560646260986715e-8,9.7696725244047e-12,450
rdb450l,2000,7,2000,7,1.1817567339251391,2.1575702793961897e-11,0.10431646005200383,1.6591215440102693e-12,450
rdb800l,2000,7,2000,7,7.890440086844464,1.151580111683954e-11,0.976200773187419,6.059752310906893e-13,800
tols1090,303,2000,317,2000,1.6760633523833587e-9,NaN,1.6810714658497224e-9,NaN,1090
tols2000,368,2000,363,2000,2.2333786712210564e-9,NaN,2.109852878658227e-9,NaN,2000
tols340,218,2000,229,2000,8.092089497674499e-10,3.7391391807188057e53,8.508720727541385e-10,7.83408025331871e50,340
tols4000,416,2000,423,2000,2.9150429206693195e-9,NaN,3.039120359527016e-9,NaN,4000
tols90,116,2000,131,2000,4.946476250067237e-10,NaN,4.1760224046116827e-10,NaN,90
